key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
red_barrier_9900_01_npc_00_00000,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_01,barrier_9900_01,red_barrier_9900_01_npc_00,barrier_9900_01_npc_00,barrier_9900_01,barrier,9900_01,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺟﻞ. ﺗﺒﺪﻭ ﻓﻮﺿﻰ ﺩﻣﻮﻳﺔ ﺣﻘﻴﻘﻴﺔ.,ﺃﺟﻞ. ﺗﺒﺪﻭ ﻓﻮﺿﻰ ﺩﻣﻮﻳﺔ ﺣﻘﻴﻘﻴﺔ.,gamedata/localizationstring_eng.paloc
red_barrier_9900_01_npc_00_00001,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_01,barrier_9900_01,red_barrier_9900_01_npc_00,barrier_9900_01_npc_00,barrier_9900_01,barrier,9900_01,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﻘﺼﺪ ﺫﻟﻚ ﺍﻻﻧﻘﻼﺏ؟,ﺗﻘﺼﺪ ﺫﻟﻚ ﺍﻻﻧﻘﻼﺏ؟,gamedata/localizationstring_eng.paloc
red_barrier_9900_01_npc_00_00002,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_01,barrier_9900_01,red_barrier_9900_01_npc_00,barrier_9900_01_npc_00,barrier_9900_01,barrier,9900_01,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻠﻬﻢ ﻣﻦ ﻗﻤﺎﺷﺔ ﻭﺍﺣﺪﺓ ﻗﺬﺭﺓ. ﻫﻴﺎ، ﻟﻨﻨﺼﺮﻑ.,ﻛﻠﻬﻢ ﻣﻦ ﻗﻤﺎﺷﺔ ﻭﺍﺣﺪﺓ ﻗﺬﺭﺓ. ﻫﻴﺎ، ﻟﻨﻨﺼﺮﻑ.,gamedata/localizationstring_eng.paloc
red_barrier_9900_01_npc_00_00003,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_01,barrier_9900_01,red_barrier_9900_01_npc_00,barrier_9900_01_npc_00,barrier_9900_01,barrier,9900_01,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﺗﻌﺘﻘﺪ... ﺳﻴﺘﺤﻮﻝ ﻫﺬﺍ ﺇﻟﻰ ﺣﺮﺏ؟,ﻫﻞ ﺗﻌﺘﻘﺪ... ﺳﻴﺘﺤﻮﻝ ﻫﺬﺍ ﺇﻟﻰ ﺣﺮﺏ؟,gamedata/localizationstring_eng.paloc
red_barrier_9900_01_npc_00_00005,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_01,barrier_9900_01,red_barrier_9900_01_npc_00,barrier_9900_01_npc_00,barrier_9900_01,barrier,9900_01,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﺒﺪﻭ ﺃﻥ ﻛﻞ ﺷﺨﺺ ﺧﺎﺋﻦ ﻫﺬﻩ ﺍﻷﻳﺎﻡ...,ﻳﺒﺪﻭ ﺃﻥ ﻛﻞ ﺷﺨﺺ ﺧﺎﺋﻦ ﻫﺬﻩ ﺍﻷﻳﺎﻡ...,gamedata/localizationstring_eng.paloc
red_barrier_9900_01_npc_00_00006,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_01,barrier_9900_01,red_barrier_9900_01_npc_00,barrier_9900_01_npc_00,barrier_9900_01,barrier,9900_01,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﻤﻌﺖ ﺃﻥ ﺑﻌﺾ ﺍﻟﻨﺒﻼﺀ ﻟﻘﻮﺍ ﺣﺘﻔﻬﻢ ﻣﺆﺧﺮﺍ.,ﺳﻤﻌﺖ ﺃﻥ ﺑﻌﺾ ﺍﻟﻨﺒﻼﺀ ﻟﻘﻮﺍ ﺣﺘﻔﻬﻢ ﻣﺆﺧﺮﺍ.,gamedata/localizationstring_eng.paloc
red_barrier_9900_02_npc_00_00000,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_02,barrier_9900_02,red_barrier_9900_02_npc_00,barrier_9900_02_npc_00,barrier_9900_02,barrier,9900_02,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻤﺤﺖ ﺷﻴﺌﺎ ﻣﻌﺪﻧﻴﺎ ﻏﺮﻳﺒﺎ ﻳﻄﻴﺮ. ﻫﻞ ﻋﻨﺪﻙ ﻓﻜﺮﺓ ﻣﺎ ﻫﻮ؟,ﻟﻤﺤﺖ ﺷﻴﺌﺎ ﻣﻌﺪﻧﻴﺎ ﻏﺮﻳﺒﺎ ﻳﻄﻴﺮ. ﻫﻞ ﻋﻨﺪﻙ ﻓﻜﺮﺓ ﻣﺎ ﻫﻮ؟,gamedata/localizationstring_eng.paloc
red_barrier_9900_02_npc_00_00001,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_02,barrier_9900_02,red_barrier_9900_02_npc_00,barrier_9900_02_npc_00,barrier_9900_02,barrier,9900_02,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﺃﺩﺭﻱ. ﺳﻤﻌﺖ ﺃﻧﻪ ﻣﻦ ﻓﻌﻞ ﺃﺣﺪ ﺃﻣﺮﺍﺀ ﺩﻳﻠﻴﺴﻴﺎ.,ﻻ ﺃﺩﺭﻱ. ﺳﻤﻌﺖ ﺃﻧﻪ ﻣﻦ ﻓﻌﻞ ﺃﺣﺪ ﺃﻣﺮﺍﺀ ﺩﻳﻠﻴﺴﻴﺎ.,gamedata/localizationstring_eng.paloc
red_barrier_9900_03_npc_00_00000,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_03,barrier_9900_03,red_barrier_9900_03_npc_00,barrier_9900_03_npc_00,barrier_9900_03,barrier,9900_03,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺟﻞ. ﺍﻟﺠﻨﻮﺩ ﻳﺘﺪﻓﻘﻮﻥ ﺇﻟﻰ ﺣﺼﻦ ﻣﻮﺳﻜﺖ ﻣﻦ ﻛﻞ ﻣﻜﺎﻥ.,ﺃﺟﻞ. ﺍﻟﺠﻨﻮﺩ ﻳﺘﺪﻓﻘﻮﻥ ﺇﻟﻰ ﺣﺼﻦ ﻣﻮﺳﻜﺖ ﻣﻦ ﻛﻞ ﻣﻜﺎﻥ.,gamedata/localizationstring_eng.paloc
red_barrier_9900_03_npc_00_00002,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_03,barrier_9900_03,red_barrier_9900_03_npc_00,barrier_9900_03_npc_00,barrier_9900_03,barrier,9900_03,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺟﻞ. ﺍﺩﻋﻢ ﺍﻟﻄﺮﻑ ﺍﻟﺨﻄﺄ، ﻭﻟﻦ ﻧﻌﻴﺶ ﻟﻨﻘﺒﺾ.,ﺃﺟﻞ. ﺍﺩﻋﻢ ﺍﻟﻄﺮﻑ ﺍﻟﺨﻄﺄ، ﻭﻟﻦ ﻧﻌﻴﺶ ﻟﻨﻘﺒﺾ.,gamedata/localizationstring_eng.paloc
red_barrier_9900_03_npc_00_00003,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_03,barrier_9900_03,red_barrier_9900_03_npc_00,barrier_9900_03_npc_00,barrier_9900_03,barrier,9900_03,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺷﻌﺮ ﺃﻥ ﺣﺮﺑﺎ ﻋﻠﻰ ﻭﺷﻚ ﺍﻻﻧﺪﻻﻉ.,ﺃﺷﻌﺮ ﺃﻥ ﺣﺮﺑﺎ ﻋﻠﻰ ﻭﺷﻚ ﺍﻻﻧﺪﻻﻉ.,gamedata/localizationstring_eng.paloc
red_barrier_9900_03_npc_00_00004,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_03,barrier_9900_03,red_barrier_9900_03_npc_00,barrier_9900_03_npc_00,barrier_9900_03,barrier,9900_03,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺑﺮﺃﻳﻚ ﻣﻦ ﺍﻷﻓﻀﻞ ﺑﻴﻨﻬﻢ؟,ﺑﺮﺃﻳﻚ ﻣﻦ ﺍﻷﻓﻀﻞ ﺑﻴﻨﻬﻢ؟,gamedata/localizationstring_eng.paloc
red_barrier_9900_03_npc_00_00005,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_03,barrier_9900_03,red_barrier_9900_03_npc_00,barrier_9900_03_npc_00,barrier_9900_03,barrier,9900_03,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﺄﺭﺍﻫﻦ ﻋﻠﻰ ﺃﻱ ﻓﺎﺋﺰ.,ﺳﺄﺭﺍﻫﻦ ﻋﻠﻰ ﺃﻱ ﻓﺎﺋﺰ.,gamedata/localizationstring_eng.paloc
red_barrier_9900_03_npc_00_00006,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_03,barrier_9900_03,red_barrier_9900_03_npc_00,barrier_9900_03_npc_00,barrier_9900_03,barrier,9900_03,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺣﺴﻨﺎ، ﺭﻫﺎﻧﻲ ﻋﻠﻰ ﺍﻟﻘﻮﺍﺕ ﺍﻟﺤﻠﻴﻔﺔ.,ﺣﺴﻨﺎ، ﺭﻫﺎﻧﻲ ﻋﻠﻰ ﺍﻟﻘﻮﺍﺕ ﺍﻟﺤﻠﻴﻔﺔ.,gamedata/localizationstring_eng.paloc
red_barrier_9900_04_npc_00_00000,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_04,barrier_9900_04,red_barrier_9900_04_npc_00,barrier_9900_04_npc_00,barrier_9900_04,barrier,9900_04,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Caliburn:Title:ﺍﻟﺪﻭﻕ ﻛﺎﻟﻴﺒﺮﻥ,ﺑﻨﻮﺭ ﺳﻮﻟﻮﻣﻴﻦ ﺍﻷﺑﻴﺾ، ﻣﺎ ﺍﻟﺬﻱ ﻳﻔﻜﺮ ﻓﻴﻪ {Staticinfo:Knowledge:Knowledge_Caliburn:Title#ﺍﻟﺪﻭﻕ ﻛﺎﻟﻴﺒﺮﻥ}؟,ﺑﻨﻮﺭ ﺳﻮﻟﻮﻣﻴﻦ ﺍﻷﺑﻴﺾ، ﻣﺎ ﺍﻟﺬﻱ ﻳﻔﻜﺮ ﻓﻴﻪ {Staticinfo:Knowledge:Knowledge_Caliburn:Title#ﺍﻟﺪﻭﻕ ﻛﺎﻟﻴﺒﺮﻥ}؟,gamedata/localizationstring_eng.paloc
red_barrier_9900_04_npc_00_00001,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_04,barrier_9900_04,red_barrier_9900_04_npc_00,barrier_9900_04_npc_00,barrier_9900_04,barrier,9900_04,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺭﺑﻤﺎ ﻛﻨﺎ ﻣﺨﻄﺌﻴﻦ ﺑﺸﺄﻧﻪ ﻣﻨﺬ ﺍﻟﺒﺪﺍﻳﺔ، ﺃﺗﻔﻬﻢ ﻗﺼﺪﻱ؟,ﺭﺑﻤﺎ ﻛﻨﺎ ﻣﺨﻄﺌﻴﻦ ﺑﺸﺄﻧﻪ ﻣﻨﺬ ﺍﻟﺒﺪﺍﻳﺔ، ﺃﺗﻔﻬﻢ ﻗﺼﺪﻱ؟,gamedata/localizationstring_eng.paloc
red_barrier_9900_04_npc_00_00002,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_04,barrier_9900_04,red_barrier_9900_04_npc_00,barrier_9900_04_npc_00,barrier_9900_04,barrier,9900_04,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﺃﻋﻠﻢ... ﻟﻜﻦ ﻫﻨﺎﻙ ﺃﻣﺮ ﻭﺍﺣﺪ ﻣﺆﻛﺪ، ﻫﺬﺍ ﻣﺎ ﺃﺳﺘﻄﻴﻊ ﻗﻮﻟﻪ ﻟﻚ.<br/>ﺇﻧﻪ ﻟﻴﺲ ﺍﻟﺮﺟﻞ ﺍﻟﺬﻱ ﻇﻨﻨﺎﻩ.,"ﻻ ﺃﻋﻠﻢ... ﻟﻜﻦ ﻫﻨﺎﻙ ﺃﻣﺮ ﻭﺍﺣﺪ ﻣﺆﻛﺪ، ﻫﺬﺍ ﻣﺎ ﺃﺳﺘﻄﻴﻊ ﻗﻮﻟﻪ ﻟﻚ.
ﺇﻧﻪ ﻟﻴﺲ ﺍﻟﺮﺟﻞ ﺍﻟﺬﻱ ﻇﻨﻨﺎﻩ.",gamedata/localizationstring_eng.paloc
red_barrier_9900_04_npc_00_00003,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_04,barrier_9900_04,red_barrier_9900_04_npc_00,barrier_9900_04_npc_00,barrier_9900_04,barrier,9900_04,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﺎﻥ ﺃﻣﻠﻨﺎ ﺍﻷﺧﻴﺮ... ﻭﺍﻵﻥ ﻟﻢ ﻳﺒﻖ ﻟﻨﺎ ﺷﻲﺀ.,ﻛﺎﻥ ﺃﻣﻠﻨﺎ ﺍﻷﺧﻴﺮ... ﻭﺍﻵﻥ ﻟﻢ ﻳﺒﻖ ﻟﻨﺎ ﺷﻲﺀ.,gamedata/localizationstring_eng.paloc
red_barrier_9900_05_npc_00_00000,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_05,barrier_9900_05,red_barrier_9900_05_npc_00,barrier_9900_05_npc_00,barrier_9900_05,barrier,9900_05,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻻ ﺗﺮﻯ؟ ﺍﻧﻈﺮ ﺇﻟﻰ ﻛﻞ ﻫﺆﻻﺀ ﺍﻟﺠﻨﻮﺩ ﺍﻟﻠﻌﻴﻨﻴﻦ.,ﺃﻻ ﺗﺮﻯ؟ ﺍﻧﻈﺮ ﺇﻟﻰ ﻛﻞ ﻫﺆﻻﺀ ﺍﻟﺠﻨﻮﺩ ﺍﻟﻠﻌﻴﻨﻴﻦ.,gamedata/localizationstring_eng.paloc
red_barrier_9900_05_npc_00_00001,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_05,barrier_9900_05,red_barrier_9900_05_npc_00,barrier_9900_05_npc_00,barrier_9900_05,barrier,9900_05,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺁﻩ، ﺳﻴﻐﻠﻔﻮﻧﻬﺎ ﺑﻘﻨﺎﻉ ﺍﻟﻮﺍﺟﺐ، ﺛﻢ ﻳﺮﻣﻮﻧﺎ ﻛﻌﻠﻒ ﻟﻠﻤﺪﺍﻓﻊ. ﻫﺬﺍ ﺩﻳﺪﻧﻬﻢ ﺩﺍﺋﻤﺎ.,ﺁﻩ، ﺳﻴﻐﻠﻔﻮﻧﻬﺎ ﺑﻘﻨﺎﻉ ﺍﻟﻮﺍﺟﺐ، ﺛﻢ ﻳﺮﻣﻮﻧﺎ ﻛﻌﻠﻒ ﻟﻠﻤﺪﺍﻓﻊ. ﻫﺬﺍ ﺩﻳﺪﻧﻬﻢ ﺩﺍﺋﻤﺎ.,gamedata/localizationstring_eng.paloc
